0.901,0.000,0.000,0.029,0.001,0.000,0.017,0.000,0.006,0.000,0.013,0.023,0.009,0.002
0.000,0.941,0.000,0.013,0.000,0.027,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.009
0.000,0.000,0.000,0.395,0.000,0.000,0.000,0.000,0.000,0.000,0.579,0.000,0.000,0.025
0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
0.006,0.000,0.000,0.021,0.940,0.000,0.009,0.000,0.012,0.000,0.005,0.000,0.001,0.006
0.000,0.206,0.000,0.222,0.000,0.493,0.000,0.000,0.001,0.000,0.027,0.000,0.000,0.051
0.000,0.000,0.000,0.000,0.003,0.000,0.975,0.000,0.001,0.000,0.016,0.005,0.000,0.001
0.000,0.000,0.000,0.518,0.000,0.000,0.000,0.000,0.000,0.000,0.423,0.000,0.000,0.060
0.008,0.001,0.000,0.000,0.025,0.001,0.004,0.000,0.936,0.000,0.000,0.000,0.025,0.000
0.000,0.000,0.000,0.571,0.000,0.000,0.000,0.000,0.000,0.000,0.282,0.000,0.000,0.147
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000
0.006,0.000,0.000,0.018,0.003,0.000,0.040,0.000,0.018,0.000,0.012,0.891,0.001,0.010
0.012,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.021,0.000,0.007,0.000,0.958,0.000
0.000,0.004,0.000,0.405,0.000,0.001,0.000,0.000,0.035,0.000,0.124,0.000,0.000,0.431
